numunitid,obsval,source_code_description,description
13878,8,,pmol/8.(10*8){cells}
16512,8,,cells/L
26834,8,,WBC 9.05
13806,8,,9.9
5880,8,,Hepatitis A test positive
6865,8,,964
10391,8,,Sputum appears normal
7193,8,,rolled cigarettes
2025,8,,mols
11118,8,,/81
3505,8,,Post-nasal swab taken
461,8,,Sample: direct micr. organism
15772,8,,U/occassional
14455,8,,/m
9537,8,,/2months
16528,8,,per hour
4080,8,,bottles per week
8608,8,billion per liter,10/9 l(88%)
7692,8,,anx. score
5659,8,,751
9142,8,,mg/m mol
25720,8,,WBC 5.02
26718,8,,WBC 4.34
6766,8,,APL U/mL (0-13)
11580,8,,10 ^12/L
4944,8,,798
3185,8,,moll/l
10336,8,,Wassermann's test (W.R.)
5280,8,,973
6323,8,,8/week
7907,8,,mmmol/mol
6014,8,,HVS: fungal organism isolated
27051,8,,WBC 6.45
18390,8,,Expressed as ratio
9865,8,,Urine pH test
8572,8,billion per liter,10/9 l(69)
22485,8,,+week
9763,8,,(0 - 30)
5281,8,,829
7356,8,percent,%Normalforms
25497,8,,WBC 9.00
24139,8,,day 4
8616,8,billion per liter,10/9 l(67)
14792,8,,relative risk
25441,8,,WBC 4.37
2656,8,,U/fornight
17287,8,,Monospot test positive
10046,8,,5.5
9744,8,,microgram/litre
17120,8,,times/3months
3039,8,,6 units
16864,8,,Fluid sample potassium
25466,8,,WBC 6.15
2537,8,,10to12/l
6660,8,,Blood Pressure Value
26735,8,,WBC 5.93
4605,8,,"zero=low risk,2-3med/hig"
14012,8,,20 hour
15787,8,,lbs:oz
15789,8,,spermatazoa
2905,8,,mP
10794,8,,/64
2530,8,,X10to9/l
20849,8,,24/25
21814,8,,/10 A Day
15998,8,,faeces unit
3506,8,,Insulin response test - vagus
3189,8,,CHADS2-VASc Score 4/
9633,8,,Serum vitamin D
9557,8,,time sample collecte
10219,8,,3.2
11125,8,,/gm
23419,8,,2MG/2MG/1MG
14601,8,,iu/le
11038,8,percent,neut%
6083,8,,Cervical swab culture negative
6080,8,,Serum albumin normal
15675,8,,kUa/L.
4304,8,,pM/hr/mgH
6952,8,,729
15821,8,,Triglycerides
9700,8,,ml/colln.
12743,8,,number/day
10836,8,,15 a day
10346,8,,Urine reducing substances
14909,8,billion per liter,x10^9/l(9.2%)
6494,8,,WBC 9.22
26241,8,,WBC 8.17
13640,8,,1500
23338,8,,5MG/5MG/6MG ALT
7258,8,,984
12887,8,millimole per liter,mmol//L
14200,8,,[AU]/mL
3631,8,,Serum vitamin K
4599,8,,cm.m
5540,8,,836
26461,8,,WBC 4.96
4583,8,,/last yr
5434,8,,794
5525,8,,787
4784,8,,EIA value
15087,8,billion per liter,x10^9/l(3.4%)
6850,8,,869
16900,8,,Toxoplasma IgG level
6925,8,,780
9258,8,,15 g/week
11375,8,,0.3
11063,8,,MCLU/ml
9743,8,,days per wk inlast month
14948,8,billion per liter,x10^9/l(64.2%)
5641,8,,766
9288,8,,times/weeks
2462,8,,/hardly ever
5514,8,,837
6745,8,,978
2601,8,,pmol/8x10^8 RBC
25465,8,,WBC 6.14
5784,8,,ALT/SGPT
15865,8,,iu/L[10
11012,8,,/year-2017
10036,8,,7.2
24030,8,,exp = 2.05 - 2.55
23420,8,,2MG/2MG/3MG ALT
15569,8,,grade0-6(n
7236,8,,949
4746,8,,rollies
14933,8,billion per liter,x10^9/l(18.4%)
25729,8,,WBC 5.74
13970,8,billion per liter,x10^9/l(38.9%)
13516,8,,days last mth
2103,8,,X10*4 / 5UL
14195,8,,g/5 days
10536,8,,Serum troponin I level
15032,8,billion per liter,x10^9/l(16.5%)
5430,8,,756
7273,8,,805
26823,8,,WBC 8.50
17694,8,,Nil seen on microscopy
9650,8,,Factor IX assay
25750,8,,WBC 7.85
9818,8,,l PER SEC
6856,8,,868
19044,8,,exp = 1.50 - 4.00
22109,8,,+Months
25883,8,,raised TCI
13326,8,,umol/L.h
7286,8,,925
25716,8,,WBC 4.62
6249,8,,pipe/day
11198,8,,o/Centigrade
8827,8,,Pipes/day
13776,8,,5.3
16140,8,,ug/g(faece
26784,8,,WBC 8.34
1480,8,,Ounce per week
5229,8,,875
9478,8,,10 /day
27745,8,,ug Hb/g Faecal
14135,8,,/occassionaly
3831,8,,2000
5174,8,,788
10700,8,,Faeces: pancreas effect normal
13104,8,,mcgFEU/ml
26825,8,,WBC 8.66
2125,8,,mnol/L
4848,8,,n/l
6382,8,,STARR 2 study
14092,8,,pc/ml
16572,8,,ccs/min
13916,8,,sr
1919,8,,nanomols/l
10246,8,,nmoles
2680,8,,20U/week
10856,8,,g week
10100,8,,cigarettes: 12/day f
4019,8,,Litre per min
12927,8,,(mm fall in 1 hour)
11092,8,,weeks & 1 day
22305,8,,WBC 7.78
21805,8,score,/27 child ACT
25229,8,,WBC 6.93
16529,8,,1.7
15952,8,,unit/day
4401,8,,(0.80-1.15)
8820,8,,36.6
15548,8,,{eiu}
6110,8,,Serum testosterone level normal
4380,8,,My Breathing Matters
26243,8,,WBC 8.41
23562,8,,2/2/3mg
14118,8,,Gonadotrophin level borderline
1817,8,score,/38
13798,8,,11.3
9786,8,,on repeat
9351,8,,(LN)
12747,8,,Out of 28
21645,8,,u/t
13704,8,,m/gl
12321,8,,mmol/kg/day
10730,8,,pnts
25471,8,,WBC 6.66
5312,8,,895
13834,8,,a night
9100,8,,810
6089,8,,Serum conjugated bilirubin level
5135,8,,727
26486,8,,WBC 7.99
4222,8,,Ca cervix screen + fee claim
9957,8,,umol/V
23603,8,,2mg/2mg/3mg alt day
12409,8,,varies
22306,8,,WBC 7.90
10710,8,,Irreg blood grp antibody pres
3945,8,,microm/24hr
2002,8,,Urea
24157,8,,days to stop medicat
15832,8,,ummol
1589,8,,[knk'U]
26214,8,,WBC 5.52
11751,8,,../
11684,8,,".,"
16218,8,,L/mt.
25211,8,,WBC 5.05
7263,8,,959
2354,8,,fifths palpable
6567,8,,Adeno
15040,8,billion per liter,x10^9/l(9.7%)
11444,8,,5.9
12123,8,,kilogms
9065,8,gram per 24 hours,gram/day
5002,8,,1062
14946,8,,comments
26210,8,,WBC 5.33
25451,8,,WBC 5.15
9081,8,,818
8570,8,billion per liter,10/9 l(43)
15084,8,billion per liter,x10^9/l(4.4%)
14122,8,,Phospholipid antibody level
5583,8,,861
19261,8,,LogMAR
23421,8,,2MG/3MG/3MG ALT
13355,8,,10-19/day
11798,8,,\
16963,8,,/p/w
9279,8,,u/k
21781,8,,CPMS ID 42053
13179,8,,/occassional
26226,8,,WBC 6.64
12412,8,,da
25478,8,,WBC 7.36
22953,8,,(0.4--4.0)
10181,8,,Litre.
14782,8,millimeter per hour,mm/hr:
6880,8,,840
14367,8,,Ratio^Ratio
9533,8,,2 times a week
12549,7,,says
27071,7,,WBC 8.84
7831,7,,Faeces: pancreatic effects
15457,7,,lt - FEV1
27082,7,,WBC 9.77
4886,7,,871
13246,7,,11.6
9627,7,,Plasma factor XI level
28606,7,,x10*9 cells/L
5307,7,,963
27186,7,,gHb/g fae
25445,7,,WBC 4.68
3887,7,,hour/week
21474,7,,no value given
6960,7,,888
8907,7,,/100 NEU
12700,7,,week?
13796,7,,5.6
26252,7,,WBC 9.75
11981,7,,7 times a week
5168,7,,1346
3302,7,,CHADS2-VASc Score 2/
29202,7,,2 to 4 times a MONTH
1902,7,,microgram/kg
9628,7,,Urine total protein
25764,7,,WBC 9.21
10447,7,,Adrenal autoantibodies
4121,7,,OPAL
18480,7,,WBC 9.04
10230,7,,ml/min/sqm
25375,7,,WBC 10.01
21567,7,,gs/week
7112,7,,x 10 ? ?/L
5956,7,,Free androgenic index normal
11391,7,,U/3week
12629,7,,weeks ago
12664,7,,minuites
6827,7,,2oz
27818,7,billion per liter,x10^9/l(34.8%)
13994,7,billion per liter,x10^9/l(64.5%)
6005,7,,High vaginal swab culture positive
13774,7,,5.2
10704,7,,90 minute plasma cortisol level
18286,7,,x10^6/mL S
9285,7,,Microsomal autoantibodies
14702,7,,Fructosamine level
25763,7,,WBC 9.11
26728,7,,WBC 5.36
25439,7,,WBC 4.27
8563,7,billion per liter,10/9 l(61)
4047,7,,times a night
21585,7,,[L]
16881,7,,RNP antibody level
26722,7,,WBC 4.65
7063,7,,u/ l
25237,7,,WBC 7.94
8743,7,,weekends only
7296,7,,exac
13550,7,,pq
16882,7,,Ro antibody level
5971,7,,Smear NAD - no endocervical cells
13819,7,,litresge
10917,7,,986
20370,7,,.70
5463,7,,1470
6695,7,billion per liter,x10^9/l(18.7%)
3231,7,,U/10^12
9051,7,,1 oz
6855,7,,992
6251,7,,3/4
9297,7,,grams week
13129,7,,No/Times
8942,7,,cans/night
16893,7,,La antibody level
7009,7,,903
5011,7,,940
12246,7,,puffs/per day
5217,7,,998
7787,7,billion per liter,x10^9/l(58.3%)
14088,7,,mis/min
8867,7,,p/min
11257,7,,MICKY MOUSE UNITS
7006,7,,1038
11616,7,,...4
5545,7,,855
26216,7,,WBC 5.84
6889,7,,1068
8562,7,billion per liter,10/9 l(30)
10541,7,,MCV - NOS
6092,7,,Serum vitamin B12 NOS
13795,7,,14.8
20934,7,,very good
9894,7,,Serum proteins low
23607,7,,3/4mg alt days
8647,7,billion per liter,10/9 l(17)
7275,7,,886
2993,7,,mmols/1
7937,7,,Urine HVA
6907,7,,1028
10037,7,,5.8
12262,7,,62-258
26786,7,,WBC 8.59
4607,7,,trivial
9027,7,,Lg/dl
3762,7,percent,%10yr risk
5275,7,,843
14848,7,billion per liter,x10^9/l(21.8%)
6853,7,,771
10526,7,,Faeces consistency: soft
10491,7,,Urine porphyrins
15416,7,,ELISA
25768,7,,WBC 9.46
5887,7,,EB virus IgM antibody level
26496,7,,WBC 8.54
8924,7,heartbeat,72 beats/min
14562,7,,mg:mmol
6685,7,billion per liter,x10^9/l(9.8%)
27041,7,,WBC 5.49
8666,7,billion per liter,10/9 l(74)
12203,7,,x10^-10mol
15124,7,billion per liter,x10^9/l(21.7%)
15757,7,,No per month
11965,7,,Anti-nuclear factor positive
3543,7,,Lewis blood group
18563,7,,exp = 0.0 - 2.4
6510,7,,0/28
16841,7,,Jo-1 antibody level
13645,7,,days/3mths
25996,7,,WBC 4.03
10356,7,,Vomit: frank blood present
9439,7,,15 U/week
1822,7,,unrecognised unit
3119,7,,count
15179,7,,Roll-ups per day
3704,7,,Faeces examination NOS
20212,7,,/ a week
7242,7,,882
8737,7,,Creatine phosphokinase level
3013,7,,x10^-1
16861,7,,Blood sent for toxicology
2755,7,,0.4
11455,7,,new
25762,7,,WBC 8.91
10377,7,,Toxoplasma antibody level
15999,7,,seph
3958,7,,unit(s)
20397,7,,liters/minute
3522,7,percent,Sperm mot. 6-8 hrs.low 10-30%
6390,7,,times/week3
11216,7,billion per liter,x10^9/l(10.8%)
18407,7,,SLV
9858,7,,Urine pH = 7.5
6229,7,billion per liter,x10^9/l(3.0%)
10514,7,,Serum anion gap
11632,7,,odds
18764,7,,WBC 9.23
26726,7,,WBC 4.93
3990,7,,U/week5
7848,7,,Lithium level high - toxic
6987,7,,856
24054,7,,exp = 30 -115
26035,7,,\meddata\s6000\document\Apollo\2010\JUL\186827.TIF
10069,7,,glasses/day
23359,7,,1/1/2mg
6469,7,,per day.
6381,7,,nmol PABA/min/mL
16865,7,,Fluid sample sodium
5484,7,,1979
18816,7,,detected
28434,7,,Per-cent
8832,7,,m1/min
8568,7,billion per liter,10/9 l(49)
7251,7,,993
6169,7,,CS:SBP
16634,7,,Lumbar
18714,7,,on occassions
2473,7,,umol/h/L
9811,7,,NG/ML RBC
11487,7,,kappa light chain
10703,7,,/a month
7280,7,,900
13771,7,,8.0
11080,7,,ugl/L
8672,7,billion per liter,10/9 l(77)
12969,7,,TIMES IN WEEK
10326,7,,Urine smell ammoniacal
13698,7,,days/term or four months
6834,7,,806
7035,7,,863
6499,7,,WBC 4.36
14927,7,billion per liter,x10^9/l(21.5%)
26480,7,,WBC 7.13
5100,7,,901
14198,7,,1/year
5631,7,,979
2044,7,,mmil/l
15177,7,,U/2 weekly
27042,7,,WBC 5.50
5679,7,,pmol/8x10 8
7704,7,billion per liter,x10^9/l(9.9%)
8846,7,,15 /day
2256,7,,U/every 2 weeks
7996,7,,g/fortnightly
11992,7,,ml/test peri
12339,7,heartbeat,60 beats/min
2703,7,,mmpl/l
3211,7,,./
17443,7,,Sample examination: NAD
4839,7,,/97
13594,7,,in statin survey
23687,7,,rbc/mm3
4140,7,,50 g/week
7277,7,,768
12333,7,,U/2 month
9001,7,,Rhesus antibody present
24821,7,,ug Hb/ g
24885,7,,35/35
26967,7,,WBC 10.15
5562,7,,958
11946,7,,roll-ups
9086,7,,885
26339,7,,improving
20819,7,score,/310
10050,7,,(ng/ml)
23555,7,,1/2mg alt days
4906,7,,1129
12417,7,,=days
5151,7,,894
13762,7,,8.2
9614,7,,Immuno-electrophoresis normal
21096,7,,6/months
4352,7,,4 units
4717,7,,days/6 months
25493,7,,WBC 8.61
7871,7,,1/3
1221,7,,ÃÂ°
9883,7,,Electrophoresis: gamma glob.
2138,7,,u/L(24-195)
18198,7,,0.48
10313,7,,Fluid sample pH
27381,7,,prefer not to say
6139,7,,Wks free
14087,7,,pounds (sterling) per day
10899,7,,870
14421,7,,6-2
10031,7,,10.9
9784,7,,Pa.s
8782,7,,1 g/week
7935,7,,Serum noradrenaline level
4268,7,,Urine sent for microscopy
13203,7,,as required
12493,7,,weekd
7386,7,,mL output
6833,7,,1109
5548,7,,878
16052,7,,1/m
20994,7,,indefnite
17690,7,,g/mmol Crea
20531,7,,mg/24hour
16342,7,,/roll up
10425,7,,Blood sent for legionella test
2610,7,,U/fornightly
10361,7,,Faeces: abnormal constituents
7796,7,,5day
10032,7,calculated,calculated
10045,7,,6.4
8639,7,billion per liter,10/9 l(63)
25640,7,,WBC 10.22
9585,7,,14.9
6487,7,,g/min
15375,7,,OptimiseHFpEF
6387,7,,2-4
25746,7,,WBC 7.41
9738,7,,twice
4574,7,,12.5g
17475,7,,sample time
15225,7,,ounces/wk
10737,7,,kU/I
10215,7,,plus (+)
2584,7,percent,% 10 YEAR RISK
26006,7,,WBC 4.76
11237,7,,Total normal and motile sperm
13108,7,,WBC 7.88
8776,7,,+/day
13822,7,,15.1
28323,7,percent,%  (A?+B>50%)
25489,7,,WBC 8.29
20055,7,,time in service
2861,7,,19/day
26484,7,,WBC 7.59
5582,7,,817
26829,7,,WBC 8.80
4154,7,,Throat swab culture negative
8606,7,billion per liter,10/9 l(87%)
9687,7,,twice a week
11162,7,,U0/week
25918,7,,WBC 10.03
26819,7,,WBC 7.95
8618,7,billion per liter,10/9 l(44)
15444,7,,(0-75)
26001,7,,WBC 4.38
26820,7,,WBC 8.07
26452,7,,WBC 3.86
9737,7,,Million/ejaculate
27177,7,,U/three monthly
11217,7,billion per liter,x10^9/l(61.8%)
9096,7,,lires
13393,7,,1 oz/week
11812,7,,yyy
13744,7,,mg/10ml
10707,7,,Faeces: pus present
27062,7,,WBC 7.93
8719,7,billion per liter,10/9 l(19)
3760,7,billion per liter,x10^9/l(30.2%)
21786,7,,while
8699,7,billion per liter,10/9 l(36)
4236,7,,MCV - borderline low
16011,7,,L ug/L
27070,7,,WBC 8.75
10401,7,,Plasma volume
26204,7,,WBC 4.85
5638,7,,937
8685,7,billion per liter,10/9 l(51)
11511,7,,Month 4......
6485,7,,40g/week
26456,7,,WBC 4.39
3610,7,,MCH - low
14838,7,billion per liter,x10^9/l(24.3%)
26566,7,,cont same dose
3457,7,percent,Sperm mot. 6-8 hrs.v.low < 10%
25206,7,,WBC 4.80
5033,7,,2010
15282,7,,ngl/L
27057,7,,WBC 7.01
3400,7,,oz a day
7222,7,,cps/mL
11898,7,,866
3622,7,,Saliva sample
7929,7,,mmom/mol
5524,7,,1024
23611,7,,4/4/5
17389,7,score,/350
27038,7,,WBC 5.06
5227,7,,1223
6657,7,,1 per day
23025,7,gram per liter,g/l *
12271,7,,last 6 months
26775,7,,WBC 7.31
17961,7,,< x mg/l
11041,7,,42b9
7909,7,,2weeks
11320,7,,CIGS/PER DAY
14641,7,,36.7
7797,7,,Faeces: foreign constituents
18391,7,,SD's
11098,7,,/83
7165,7,,mc
1982,7,,once
27316,7,,x 10 3/ul
7151,7,percent,% variability
21883,7,gram per 24 hours,gr/day
10188,7,,out of 5
14920,7,billion per liter,x10^9/l(4.2%)
4365,7,,HOME BP
6999,7,,781
21934,7,,nmol/mmolC
9464,7,,13/day
6465,7,,14/week
23278,7,,Fits per yr
14579,7,billion per liter,x10^9/l(5.1%)
3893,7,,beck sc.
6897,7,,935
7215,7,,gms/wk.
13743,7,,exacerbations/12 months
9904,7,,Bone marrow exam. normal
3649,7,,Haemoglobin variants
3192,7,,mmol./
15980,7,,WBC 9.64
11628,7,,wt corr HCG
5653,7,,1005
25491,7,,WBC 8.35
12049,7,,Inhibin -A MoM
16660,7,,gm/1
5872,7,,Coffee ground vomit
3020,7,,\week
22693,7,,/every other day
8712,7,billion per liter,10/9 l(20)
15396,7,,md/dL
7747,7,,qty
7179,7,,ymol/L
2065,7,,mu/I
13379,7,,U/week 1
22308,7,,WBC 8.42
16067,7,,L ng/L
26499,7,,WBC 8.92
7188,7,,pints/month
12359,7,,daus
10034,7,,r/day
21552,7,,WBC 4.57
508,7,,Rubella IgG level
4414,7,,.3
18127,7,,/ounces
15342,7,,units a week
8799,7,,7.3
9379,7,,"(N),"
5584,7,,892
5265,7,,887
20861,7,,HI
12588,7,,dsys
20463,7,percent,%02 sats on air
17338,7,,beers/day
12238,7,,pints a day
21851,7,,PEFR.(litres/min)
16843,7,,Scl 70 antibody level
7044,7,,u/ week
22772,7,,picmols/l
26485,7,,WBC 7.79
2822,7,,zzgm/L
7830,7,,11-26U
20176,7,percent,93%
14488,7,,U/years
13757,7,,6.8
14388,7,,stop day
28072,7,,/roll ups day
27067,7,,WBC 8.28
8997,7,,disturbance /month
19923,7,,WBC 7.98
6570,6,,Chlam
1504,6,,joints/day
2319,6,percent,%oft
22554,6,,ng/L  (190-900 ng/L)
27072,6,,WBC 8.87
8986,6,,Instances
7940,6,,u/amonth
16232,6,,ACE-R
14053,6,billion per liter,x10^9/l(68.4%)
26246,6,,WBC 8.72
25919,6,,WBC 10.04
4936,6,,883
5241,6,,1043
2498,6,billion per liter,x10^9/l(70.9%)
8698,6,billion per liter,10/9 l(76)
14940,6,billion per liter,x10^9/l(17.1%)
17420,6,,1371
26060,6,,adequate replacement
12472,6,,2day
11385,6,,0.32
16046,6,,h ug/L
26836,6,,WBC 9.12
3740,6,billion per liter,x10^9/l(30.6%)
6658,6,,9.6
5690,6,,8CAL
7947,6,,aweek
13608,6,,E1/g faeces
22224,6,,less then a month
27024,6,,WBC 3.71
21452,6,,g tobacco per week
3708,6,,Haemoglobin borderline high
6676,6,billion per liter,x10^9/l(35.6%)
4213,6,,Urine bacteria test: negative
15899,6,,",,,"
10691,6,,CSF pressure: low
5179,6,,1072
12074,6,,mls/24hr
21780,6,,kg/cm2
14380,6,,Vomit examination
11565,6,,4.......
4974,6,,1080
11637,6,,(4.0-6.0)
9565,6,,1 - 9
15003,6,billion per liter,x10^9/l(54.6%)
7247,6,,926
6983,6,,862
13052,6,,bo
4460,6,,50 U/week
2885,6,,nM/ml/min
12926,6,,0/5
15201,6,,(thinking of change)
12602,6,,bottle wine/week
6963,6,,860
11445,6,,mi/l
17884,6,,/g a week
23932,6,,150 - 450
13442,6,,pmol/8x10^
3880,6,,every night
10233,6,,Plasma Act pro
15081,6,billion per liter,x10^9/l(58.0%)
9771,6,,g/months
10860,6,,36.4
26833,6,,WBC 9.03
14360,6,,cigarrettes/day
14001,6,,cl
21246,6,,u month
11046,6,,GCLU/ml
14009,6,,CLASP
22038,6,,10^6/cm^3
6579,6,percent,%lymph
5763,6,,*109/L
9541,6,,/5day
14863,6,billion per liter,x10^9/l(15.9%)
22556,6,,ug/L  (1.9-14 ug/L)
8607,6,billion per liter,10/9 l(85%)
25857,6,,excellent
15871,6,,microg/
26455,6,,WBC 4.25
14540,6,,5-6/day
7203,6,,nmol/h/mL(RBC)
15112,6,billion per liter,x10^9/l(0.4%)
11192,6,,pmol 6MMPN/8x10^8 ce
7181,6,,FSH
4740,6,,MPL-UmL
13891,6,,oz/per week
6340,6,,inc
3172,6,,Patient CHADS2VASc s
25486,6,,WBC 8.09
13892,6,,umol/kg
15121,6,billion per liter,x10^9/l(8.9%)
22714,6,,th - 91 st
9785,6,,+4
15859,6,,time arrived at lab
8861,6,,ug/g creat
2955,6,,3.0
16482,6,,m0
1543,6,,50g week
22108,6,,AMOUNT NOT STATED
6988,6,,922
8694,6,billion per liter,10/9 l(50)
9768,6,,1173
12507,6,,glasses wine/week
24058,6,,exp = 350 - 700
5371,6,,983
9707,6,,alternate weeks
25387,6,,WBC 11.17
6740,6,,997
25254,6,,WBC 9.15
7180,6,,x10 9 / L
11574,6,,nmo1/1
22751,6,,U/socially
15308,6,percent,89%
17860,6,,few weeks
5515,6,,961
361,6,,\meddata\s6000\document\Apollo\2013\10\Document 13
19257,6,,less monthly
15968,6,,mmol/TV
3418,6,score,/33
10395,6,,Blood inorganic phosphate level
7362,6,,Ls
11860,6,,10 to the 6 per L
10223,6,,1/2 oz
7060,6,,L/MINE
26007,6,,WBC 4.79
5025,6,,972
2305,6,,predicted
15625,6,,how many
20789,6,,mtrs/no.
9531,6,billion per liter,?: x10^9/L
21186,6,,/7.5
12151,6,billion per liter,x10^9/l(29.4%)
11761,6,percent,%66
7012,6,,974
10254,6,,2 monthly
6225,6,,1oz/week
13733,6,,sd above 35yo
22625,6,,31/35
21293,6,,WBC 8.55
7245,6,,1017
15023,6,billion per liter,x10^9/l(59.7%)
7257,6,,803
20075,6,,amount
18242,6,,1250
15116,6,billion per liter,x10^9/l(60.3%)
6959,6,,1041
4724,6,,/5uL cDNA
15902,6,,nmol/L [
17561,6,,oz /week
11331,6,,mIU/ml.
28782,6,,CPRD ID
7162,6,,x40mg steroid
15988,6,,9/0l
7922,6,,hg
9216,6,,8/12
1548,6,,Pack per day
10454,6,,Urine urobilinogen negative
23486,6,,4 mg daily
9195,6,,weeks & 5 days
7321,6,billion per liter,x10^9/l(33.6%)
13752,6,,18.4
8916,6,,4day
22386,6,,recorded
25758,6,,WBC 8.67
15500,6,,glasses of wine
14023,6,,- 40/day
9496,6,,p/wk
7186,6,,times in 3 months
1505,6,billion per liter,% x10^9/l
9845,6,,Plasma gamma GT level
13754,6,,15.3
5882,6,,Semen analysis due
6512,6,,4/28
21035,6,,g/every 2 weeks
3987,6,,01
5813,6,,736
27167,6,,U/occassionaly
9232,6,,ocasional
14998,6,billion per liter,x10^9/l(67.6%)
6731,6,,1006
5113,6,,952
7109,6,,Day[s]
10527,6,,Urine cult - acid-fast bacilli
10886,6,,911
6539,6,,oz/ week
9966,6,,g/h
4546,6,,nM/mMcre
13668,6,percent,64%
12005,6,,876
3124,6,,CHADS2 Score 3/6: Pa
7968,6,,2cm
26841,6,,WBC 9.50
5561,6,,948
17251,6,,weeksr
10384,6,,CSF: examination normal
8842,6,,g/
18018,6,,c/ml
10327,6,,Sputum inspection
22310,6,,WBC 8.86
4098,6,,Per weekend
2743,6,,0.1
6767,6,,CSF appearance
7985,6,,{units}/mL
24790,6,,U/4 times per month
13977,6,billion per liter,x10^9/l(11.4%)
13598,6,billion per liter,x10^9/l(25.8%)
14978,6,billion per liter,x10^9/l(24.5%)
9607,6,,score/12
5556,6,,1299
2531,6,,Score/16
5699,6,,2/6
5030,6,,929
8894,6,,weelk
6010,6,,Helicobacter serology equivocal
6075,6,,Red cell haemoglobin S estimation
6884,6,,797
3866,6,,i
10677,6,,Pentagastrin test-acid secret.
9942,6,,x 10^3 iu/ml
17732,6,,depends
3317,6,,pmol/8x10*8 cells
19216,6,,BTU's
15091,6,billion per liter,x10^9/l(18.5%)
2825,6,,mg/g w.w.
8751,6,,every other week
9920,6,,MIL
3438,6,,Serum ACTH
2739,6,,unknown quantity
3729,6,,/day *EX*
664,6,,CA153 level
10665,6,,CSF: chloride normal
9040,6,,MOL/1
5876,6,,Patient refused lab. test
13396,6,percent,95%
7297,6,,adm
7000,6,,939
7284,6,,1008
24119,6,,6/5
2541,6,,night/month
28060,6,percent,% of CD19+ B Cells
11895,6,,g/A day
2644,6,,Umonthly
13920,6,,earli
2564,6,,very rarely
12372,6,,daysa
10954,6,,1047
19282,6,,Day+Night+Activity scores
6413,6,,in last 4 wks
5292,6,,1001
4532,6,,asdfas
14038,6,,resp per min
3894,6,,/week/
11295,6,,2.4
4094,6,,ou/week
12028,6,,umol/lHI
4259,6,,Urine culture - Str. faecalis
5897,6,,Prolactin level raised
7977,6,,3cm
2616,6,,U/ yearly
12879,6,,G/24 Hrs.
7931,6,,O/E: stained micr.: parasite
10341,6,,Faeces exam. - consistency
14878,6,billion per liter,x10^9/l(15.7%)
9054,6,gram,50grams
11488,6,,warfarin
7068,6,,monthly.
4965,6,,1130
9790,6,,2/3
10129,6,,antibody
22521,6,,WBC 13.28
22367,6,,WBC 9.27
26244,6,,WBC 8.46
18140,6,,umol/h/g (protein)
10211,6,,mL/min/1.73n
7320,6,billion per liter,x10^9/l(23.2%)
3254,6,,mmmol/
26745,6,,WBC 6.49
24961,6,,/since admission
26201,6,,WBC 4.56
10965,6,,791
16470,6,,within 1 hour
1952,6,,4 months
6496,6,,1/6
18742,6,,Atrophic change on cerv.smear
18472,6,,WBC 4.04
13636,6,millimole per liter,mmol per L
13409,6,,g/2 days
24001,6,,exp = 1 - 7
20457,6,,UMonths
5282,6,,832
25753,6,,WBC 8.08
13008,6,,pieces per day
23297,6,,4/4/5mg
16490,6,,separm
6847,6,,1075
27237,6,,nmol/h/g{Hb}
13812,6,,8.1
17998,6,,x10*6 cells/L
15005,6,billion per liter,x10^9/l(34.4%)
3997,6,,U/week1
4471,6,,/10*2WBC
16231,6,,mls per second
13405,6,,cells per ul
6449,6,,exacerbations last year
4913,6,,1275
11096,6,,APL U/mL
12198,6,,mg/L/24h
9726,6,,24/27
15086,6,billion per liter,x10^9/l(51.2%)
25208,6,,WBC 4.92
20437,6,,days approximately
12936,6,,roll up a day
5892,6,,Semen volume low: 0.5-1 ml.
14925,6,billion per liter,x10^9/l(54.8%)
10721,6,,0times/week
27377,6,,months worse
11975,6,,bottles of wine/week
6332,6,,each
9638,6,,Plasma factor V level
15073,6,billion per liter,x10^9/l(60.0%)
10550,6,,/year-2018
19907,6,,TCI to discuss
11163,6,,mol/mmol
19204,6,,cm/a
23438,6,,6 mg
2910,6,,every few months
17698,6,,WARTS
15575,6,,15 day
15251,6,,grams]
17329,6,,Urine - bile chemistry
4068,6,,/grams a day
8541,6,,per 100WBC
7908,6,,degrees fahrenheit
13955,6,,Hmm
15001,6,billion per liter,x10^9/l(26.6%)
21813,6,,/day?
9652,6,,Urine microscopy: no cells
14398,6,billion per liter,10/9 l(65)
10887,6,,977
4356,6,,8 units
21788,6,,WBC 8.69
25721,6,,WBC 5.14
12978,6,,screen
10452,6,,Urine protein electrophoresis
4835,6,,5-10/DAY
26840,6,,WBC 9.45
11993,6,,mIU/lLO
25203,6,,WBC 4.41
22307,6,,WBC 8.05
7204,6,,Log10 Copies/ml
16280,6,,l/
17104,6,,/3monthly
17286,6,,Monospot test
27076,6,,WBC 9.16
25515,6,,WBC 9.99
13163,6,percent,%%
13818,6,,11.4
15758,6,,0 units
24616,6,,framingham
25568,6,,acceptable
16842,6,,RBC's - target cells present
10256,6,,(
15145,6,,-10/day
10446,6,,Pituitary/adrenal hormones
9433,6,,mmol/vol
16409,6,percent,%motile forms
2732,6,,Unknown frequency
19172,6,,rolls ups/day
5539,6,,1004
9080,6,,793
9906,6,,Semen exam.: low fertility
9962,6,,/rolls
